application_name,volume_mn,value_cr,month
Dhani,0.15,7.35,01-02-2025
Money View #,0.15,15.33,01-02-2025
True Balance,0.13,4.64,01-02-2025
Kredit.Pe #,0.12,16.73,01-02-2025
Rapipay,0.12,14.62,01-02-2025
Spice Money,0.1,9.88,01-02-2025
Niyo Global #,0.09,46.26,01-02-2025
IDBI Bank Apps,0.09,32.23,01-02-2025
Ultracash #,0.09,6.62,01-02-2025
City Union Bank Apps,0.08,28.98,01-02-2025
Karur Vysya Bank Apps,0.08,28.6,01-02-2025
Tamilnad Mercantile Bank Apps,0.08,26.47,01-02-2025
NSDL Payments Bank Apps,0.08,8.12,01-02-2025
Genwise #,0.07,24.26,01-02-2025
Freo #,0.04,2.36,01-02-2025
Cheq,0.03,2.44,01-02-2025
Punjab Sind Bank Apps,0.03,9.76,01-02-2025
Bank of Maharashtra Apps,0.02,9.03,01-02-2025
Others,1.94,222.61,01-02-2025
Bharat Pe #,2.72,224.48,01-02-2026
Samsung Pay #,10.29,679.66,01-02-2026
POP UPI #,8.48,662.57,01-02-2026
Jio Payments Bank Apps,6.64,449.17,01-02-2026
Jupiter Money #,5.35,897.61,01-02-2026
Deutsche Bank Apps,4.85,791.38,01-02-2026
Canara Bank Apps,3.61,972.59,01-02-2026
Money View #,2.83,157.81,01-02-2026
Kiwi #,2.65,434.15,01-02-2026
Jammu and Kashmir Bank Apps,2.65,394.59,01-02-2026
KreditBee #,2.44,142.33,01-02-2026
Flipkart UPI #,2.39,115.59,01-02-2026
Suryoday Bank Apps,2.37,13.3,01-02-2026
Punjab National Bank Apps,1.96,536.12,01-02-2026
Fi Money #,1.92,299.83,01-02-2026
Aditya Birla Capital Digital #,1.87,25.79,01-02-2026
Timepay #,1.23,21.55,01-02-2026
Omni Card,1.77,92.21,01-02-2026
Indian Bank Apps,1.45,455.61,01-02-2026
Bank of Baroda Apps,1.44,425.74,01-02-2026
Digikhata,1.31,472.46,01-02-2026
HSBC Bank Apps,1.25,148.32,01-02-2026
IndusInd Bank Apps,1.17,197.23,01-02-2026
NSDL Payments Bank Apps,0.96,277.82,01-02-2026
AU Small Finance Bank Apps,0.85,277.08,01-02-2026
Union Bank Apps,0.84,241.03,01-02-2026
South Indian Bank Apps,0.84,266.22,01-02-2026
Freo #,0.77,72.69,01-02-2026
Shri Ram One #,0.71,82.45,01-02-2026
Kredit Pe #,0.67,58.61,01-02-2026
Jar #,0.63,19.07,01-02-2026
UCO Bank Apps,0.57,161.22,01-02-2026
One Card #,0.57,684.4,01-02-2026
DBS Digibank Apps,0.55,205.24,01-02-2026
Fino Payments Bank Apps,0.52,51.55,01-02-2026
Salary Se #,0.48,38.44,01-02-2026
Central Bank of India Apps,0.47,165.55,01-02-2026
Rapipay,0.47,33.53,01-02-2026
Standard Chartered Bank Apps,0.46,109.71,01-02-2026
Spice Money,0.39,35.08,01-02-2026
ESAF Small Finance Bank Apps,0.35,38.36,01-02-2026
Tata Pay #,0.29,101.76,01-02-2026
Bank of India Apps,0.26,89.73,01-02-2026
Karnataka Bank Apps,0.26,63.38,01-02-2026
IDBI Bank Apps,0.19,94.62,01-02-2026
Obopay,0.19,30.31,01-02-2026
Saathi by PayNearBy #,0.19,23.54,01-02-2026
True Balance,0.19,6.55,01-02-2026
Dhani,0.19,8.16,01-02-2026
TwidPay #,0.14,14.73,01-02-2026
Karur Vysya Bank Apps,0.13,46.09,01-02-2026
Indian Overseas Bank Apps,0.12,37.83,01-02-2026
Payworld,0.12,10.68,01-02-2026
Tamilnad Mercantile Bank Apps,0.1,39,01-02-2026
City Union Bank Apps,0.08,28.59,01-02-2026
Cheq,0.08,7.5,01-02-2026
Bank of Maharashtra Apps,0.06,22.32,01-02-2026
Equitas Small Finance Bank Apps,0.06,16.45,01-02-2026
LXME #,0.05,3.78,01-02-2026
Curie Money #,0.05,2.96,01-02-2026
Ultracash #,0.05,3.72,01-02-2026
Unity Small Finance Bank Apps,0.05,11.21,01-02-2026
Fave,0.04,8.37,01-02-2026
ZET #,0.03,2.01,01-02-2026
Punjab Sind Bank Apps,0.03,12.71,01-02-2026
Others,3.04,246.36,01-02-2026
PhonePe,5734.54,906793.76,01-01-2024
Google Pay,4442.86,635945.58,01-01-2024
Paytm Payments Bank App,1569.63,192614.74,01-01-2024
Cred,108.86,38229.82,01-01-2024
Axis Bank Apps,80.17,5721.57,01-01-2024
Amazon Pay,59.48,6288.95,01-01-2024
ICICI Bank Apps,40.62,24115.98,01-01-2024
FAM,36.62,418.33,01-01-2024
HDFC Bank Apps,30.98,5475.95,01-01-2024
BHIM,29.98,8778.61,01-01-2024
Kotak Mahindra Bank Apps,28.24,4981.01,01-01-2024
WhatsApp,26.08,2132.83,01-01-2024
Yes Bank Apps,23.28,11618.77,01-01-2024
Bajaj Finserv,19.87,2737.66,01-01-2024
Airtel Payments Bank Apps,13.24,902.43,01-01-2024
Groww,9.41,6540.35,01-01-2024
State Bank of India Apps,6.13,2426.73,01-01-2024
Samsung Pay,5.73,518.32,01-01-2024
IDFC Bank Apps,5.47,1448.5,01-01-2024
Federal Bank Apps,5.33,674.05,01-01-2024
Mobikwik,5.19,1625.48,01-01-2024
Jupiter,4.97,665.54,01-01-2024
India Post Payments Bank Apps,4.69,461.95,01-01-2024
Deutsche Bank Apps,3.89,294.63,01-01-2024
Standard Chartered Bank Apps,3.68,746.46,01-01-2024
RBL Bank Apps,3.35,786.52,01-01-2024
Canara Bank Apps,2.62,758.31,01-01-2024
slice,2.01,407.98,01-01-2024
Jio Payments Bank Apps,1.51,137.62,01-01-2024
Punjab National Bank Apps,1.32,335.6,01-01-2024
Indian Bank Apps,1.29,322.39,01-01-2024
SLICE,1.26,41.97,01-01-2024
Omnicard,1.15,37.16,01-01-2024
Bank of Baroda Apps,1.14,516.58,01-01-2024
Union Bank Apps,1.11,451.7,01-01-2024
Navi,0.96,54.5,01-01-2024
Gokiwi,0.74,105.76,01-01-2024
DBS Digibank Apps,0.7,254.66,01-01-2024
Karnataka Bank Apps,0.67,144.11,01-01-2024
AU Small Finance Bank Apps,0.66,259.49,01-01-2024
Central Bank of India Apps,0.63,150.41,01-01-2024
Shriram One,0.59,31.86,01-01-2024
FIFEDERAL,0.47,57.15,01-01-2024
BPAYWALLET,0.43,88.49,01-01-2024
MBK,0.39,57.77,01-01-2024
South Indian Bank Apps,0.33,105.23,01-01-2024
Bank of India Apps,0.29,108.18,01-01-2024
Fino Payments bank Apps,0.29,31.67,01-01-2024
INDIE - Indus Ind,0.25,42.84,01-01-2024
UCO Bank Apps,0.21,76.62,01-01-2024
HSBC Bank Apps,0.2,118,01-01-2024
Tamilnad Mercantile Bank Apps,0.12,32.85,01-01-2024
Indian Overseas Bank Apps,0.11,29.92,01-01-2024
Ultracash,0.08,5.95,01-01-2024
Citi Bank Apps,0.08,79.39,01-01-2024
Digikhata,0.08,30.34,01-01-2024
TataNeu,0.08,11.48,01-01-2024
City Union Bank Apps,0.08,25.49,01-01-2024
IDBI Bank Apps,0.08,42.31,01-01-2024
Jupiter Edge (LivQuick PPI),0.05,14.71,01-01-2024
Karur Vysya Bank Apps,0.04,15.23,01-01-2024
NSDL Payments Bank Apps,0.04,5.77,01-01-2024
Bank of Maharashtra Apps,0.04,8.06,01-01-2024
DHANI,0.04,2.71,01-01-2024
PAYTMWALLET,0.03,3.11,01-01-2024
MakeMyTrip,0.03,15.48,01-01-2024
Equitas Small Finance Bank Apps,0.03,23.19,01-01-2024
Timepay,0.03,0.33,01-01-2024
Allahabad Bank Apps,0.03,6.51,01-01-2024
Other Apps,0.13,31.46,01-01-2024
CBDC Apps,0.88,48.08,01-01-2024
Phone Pe #,8102.44,1191303.98,01-01-2025
Google Pay #,6183.91,826845.07,01-01-2025
Paytm #,1152.34,126313.45,01-01-2025
Navi #,242.83,13221.33,01-01-2025
Cred #,137.44,49482.95,01-01-2025
Axis Bank Apps,126.62,7769.17,01-01-2025
super.money #,124.83,4565.57,01-01-2025
Amazon Pay #,99.95,9843.47,01-01-2025
FamApp by Trio #,79.01,896.25,01-01-2025
Whatsapp #,60.99,4550.41,01-01-2025
ICICI Bank Apps,58.23,18928.62,01-01-2025
Kotak Mahindra Bank Apps,53.71,7489.75,01-01-2025
HDFC Bank Apps,49.6,11086.42,01-01-2025
Yes Bank Apps,41.57,8877.26,01-01-2025
BHIM,33.88,9333.77,01-01-2025
Mobikwik #,23.66,3811.43,01-01-2025
Airtel Payments Bank Apps,20.96,1498.83,01-01-2025
Groww #,15.4,11200.31,01-01-2025
India Post Payments Bank Apps,12.57,1509.59,01-01-2025
State Bank of India Apps,12.49,3515.63,01-01-2025
IDFC Bank Apps,11.77,2283.04,01-01-2025
RBL Bank Apps,8.62,1418.15,01-01-2025
Samsung Pay #,8.57,608.41,01-01-2025
Bajaj Finserv #,8.19,1649.36,01-01-2025
POP UPI,8.1,431.96,01-01-2025
Slice #,7.88,569.95,01-01-2025
Flipkart UPI #,7.58,393.64,01-01-2025
Jupiter Money #,6.31,913.95,01-01-2025
Federal Bank Apps,4.3,744.89,01-01-2025
Jio Payments Bank Apps,3.66,293.42,01-01-2025
Punjab National Bank Apps,3.45,864.8,01-01-2025
Canara Bank Apps,3.36,884.57,01-01-2025
Deutsche Bank Apps,3.32,322.75,01-01-2025
Fi Money #,3.25,401.64,01-01-2025
Indian Bank Apps,2.07,437,01-01-2025
Timepay #,1.8,22.39,01-01-2025
Suryoday Bank Apps,1.74,323.72,01-01-2025
Jammu and Kashmir Bank Apps,1.62,212.89,01-01-2025
Omni Card,1.49,96,01-01-2025
Central Bank of India Apps,1.34,237.42,01-01-2025
Bank of Baroda Apps,1.23,442.03,01-01-2025
DBS Digibank Apps,1.13,225.49,01-01-2025
Aditya Birla Capital Digital #,0.93,39.03,01-01-2025
Kiwi #,0.82,141.6,01-01-2025
HSBC Bank Apps,0.82,201.79,01-01-2025
Union Bank Apps,0.75,257.23,01-01-2025
One Card #,0.7,799.37,01-01-2025
South Indian Bank Apps,0.65,192.73,01-01-2025
Digikhata,0.64,194.07,01-01-2025
Ind Money #,0.63,293.14,01-01-2025
Shri Ram One #,0.6,63.97,01-01-2025
Fino Payments Bank Apps,0.59,78.97,01-01-2025
AU Small Finance Bank Apps,0.5,154.35,01-01-2025
UCO Bank Apps,0.34,85.35,01-01-2025
Tata Neu #,0.3,89.22,01-01-2025
IndusInd Bank Apps,0.26,58.26,01-01-2025
Indian Overseas Bank Apps,0.25,66.56,01-01-2025
Karnataka Bank Apps,0.25,52.98,01-01-2025
ESAF Small Finance Bank Apps,0.24,26.7,01-01-2025
Bank of India Apps,0.24,78.25,01-01-2025
True Balance,0.23,9.01,01-01-2025
Bharat Pe #,0.21,19.64,01-01-2025
Standard Chartered Bank Apps,0.2,123.89,01-01-2025
Salary Se #,0.16,7.76,01-01-2025
Dhani,0.15,7.72,01-01-2025
Money View #,0.12,9.77,01-01-2025
Rapipay,0.11,13.96,01-01-2025
IDBI Bank Apps,0.11,41.84,01-01-2025
Niyo Global #,0.1,48.75,01-01-2025
Ultracash #,0.09,6.74,01-01-2025
Kredit.Pe #,0.09,11.04,01-01-2025
City Union Bank Apps,0.08,29.52,01-01-2025
Karur Vysya Bank Apps,0.08,29.32,01-01-2025
Tamilnad Mercantile Bank Apps,0.08,26.96,01-01-2025
Spice Money,0.08,7.67,01-01-2025
NSDL Payments Bank Apps,0.07,8.35,01-01-2025
Genwise #,0.05,29.81,01-01-2025
Bank of Maharashtra Apps,0.04,15.22,01-01-2025
Equitas Small Finance Bank Apps,0.04,28.47,01-01-2025
Cheq,0.03,2.39,01-01-2025
Punjab Sind Bank Apps,0.03,11.6,01-01-2025
Freo #,0.02,1.55,01-01-2025
Others,8.66,1373.16,01-01-2025
Samsung Pay #,11.21,752.03,01-01-2026
POP UPI,8.5,686.09,01-01-2026
Jio Payments Bank Apps,6.57,456.14,01-01-2026
Jupiter Money #,5.93,982.03,01-01-2026
Deutsche Bank Apps,5.29,853.4,01-01-2026
Flipkart UPI #,3.09,163.55,01-01-2026
Kiwi #,3.04,474.14,01-01-2026
Suryoday Bank Apps,3,6.05,01-01-2026
NSDL Payments Bank Apps,2.94,383.15,01-01-2026
Money View #,2.61,143.19,01-01-2026
Fi Money #,2.5,373.44,01-01-2026
Bharat Pe #,2.48,218.56,01-01-2026
Jammu and Kashmir Bank Apps,2.46,371.79,01-01-2026
KreditBee #,2.21,120.02,01-01-2026
Shri Ram One #,1.98,148.12,01-01-2026
Omni Card,1.94,121.46,01-01-2026
Punjab National Bank Apps,1.85,479.04,01-01-2026
Aditya Birla Capital Digital #,1.58,26.15,01-01-2026
Bank of Baroda Apps,1.57,438.51,01-01-2026
Timepay #,1.51,27.49,01-01-2026
Indian Bank Apps,1.49,449.01,01-01-2026
IndusInd Bank Apps,1.37,233.81,01-01-2026
Digikhata,1.35,465.91,01-01-2026
HSBC Bank Apps,1.26,154.21,01-01-2026
Union Bank Apps,0.99,286.52,01-01-2026
South Indian Bank Apps,0.92,289.61,01-01-2026
ESAF Small Finance Bank Apps,0.9,102.33,01-01-2026
AU Small Finance Bank Apps,0.86,282.32,01-01-2026
Kredit Pe #,0.66,60.31,01-01-2026
UCO Bank Apps,0.61,170.83,01-01-2026
One Card #,0.61,734.23,01-01-2026
DBS Digibank Apps,0.6,232.75,01-01-2026
Jar #,0.53,15.68,01-01-2026
Rapipay,0.5,40.91,01-01-2026
Central Bank of India Apps,0.48,165.59,01-01-2026
Fino Payments Bank Apps,0.46,46.59,01-01-2026
Standard Chartered Bank Apps,0.46,124.07,01-01-2026
Salary Se #,0.46,33.35,01-01-2026
Freo #,0.4,38.48,01-01-2026
Spice Money,0.39,35.36,01-01-2026
Oxymoney,0.37,1.71,01-01-2026
Tata Pay #,0.35,127.17,01-01-2026
Bank of India Apps,0.34,110.33,01-01-2026
Karnataka Bank Apps,0.29,69.24,01-01-2026
Dhani,0.21,9.1,01-01-2026
True Balance,0.21,7.27,01-01-2026
IDBI Bank Apps,0.2,97.89,01-01-2026
Obopay,0.18,28.32,01-01-2026
Indian Overseas Bank Apps,0.18,51.36,01-01-2026
Saathi by PayNearBy #,0.17,19.74,01-01-2026
Karur Vysya Bank Apps,0.14,49.25,01-01-2026
Payworld,0.11,10.57,01-01-2026
Tamilnad Mercantile Bank Apps,0.11,41.01,01-01-2026
TwidPay #,0.1,12.15,01-01-2026
Bank of Maharashtra Apps,0.07,25.7,01-01-2026
Cheq,0.07,6.43,01-01-2026
City Union Bank Apps,0.07,28.62,01-01-2026
Equitas Small Finance Bank Apps,0.06,14.87,01-01-2026
Curie Money,0.05,3.14,01-01-2026
Unity Small Finance Bank Apps,0.05,15.24,01-01-2026
Ultracash #,0.05,3.61,01-01-2026
LXME #,0.04,3.33,01-01-2026
Fave,0.04,7.47,01-01-2026
Punjab Sind Bank Apps,0.03,15.58,01-01-2026
Others,2.98,260.65,01-01-2026
PhonePe #,6983.97,1028799.39,01-07-2024
Google Pay #,5341.23,735159.2,01-07-2024
Paytm (OCL ) #,1128.97,123467.33,01-07-2024
Cred #,142.56,48998.89,01-07-2024
Axis Bank Apps,108.57,6335.06,01-07-2024
Amazon Pay #,72.41,7995.92,01-07-2024
Navi #,68.47,3574.61,01-07-2024
ICICI Bank Apps,52.91,28529.39,01-07-2024
Fampay by Trio #,52.04,639.44,01-07-2024
Kotak Mahindra Bank Apps,44.8,6488.28,01-07-2024
WhatsApp #,41.39,3215.18,01-07-2024
HDFC Bank Apps,35.28,8747.5,01-07-2024
BHIM,24.64,8756.73,01-07-2024
Yes Bank Apps,24.08,9583.2,01-07-2024
Airtel Payments Bank Apps,17.48,1210.32,01-07-2024
Groww #,15.18,12129.34,01-07-2024
Bajaj Finserv #,9.9,2309.58,01-07-2024
Slice #,9.41,708.27,01-07-2024
Mobikwik #,9.11,2431.73,01-07-2024
State Bank of India Apps,8.06,2691.74,01-07-2024
IDFC Bank Apps,7.63,1725.98,01-07-2024
Flipkart UPI #,7.12,422.36,01-07-2024
Samsung Pay #,6.6,558.51,01-07-2024
India Post Payments Bank Apps,6.43,826.31,01-07-2024
Federal Bank Apps,5.95,848.66,01-07-2024
Jupiter Money #,5.76,781.04,01-07-2024
Canara Bank Apps,3.04,834.74,01-07-2024
Federal Bank Apps,2.68,460.69,01-07-2024
Jio Payments Bank Apps,2.53,199.65,01-07-2024
super.money #,2.5,75.7,01-07-2024
Deutsche Bank Apps,2.44,344.53,01-07-2024
Timepay #,2.16,20.52,01-07-2024
Punjab National Bank Apps,2.15,563.99,01-07-2024
Indian Bank Apps,1.95,344.83,01-07-2024
RBL Bank Apps,1.46,354.77,01-07-2024
Union Bank Apps,1.28,530.92,01-07-2024
Omnicard #,1.2,54.57,01-07-2024
Bank of Baroda Apps,1.07,477.99,01-07-2024
Jammu and Kashmir Bank Apps,0.87,111.92,01-07-2024
Central Bank of India Apps,0.83,180.98,01-07-2024
AU Small Finance Bank Apps,0.66,202.05,01-07-2024
South Indian Bank Apps,0.56,159.32,01-07-2024
DBS Digibank Apps,0.53,206.03,01-07-2024
POP UPI,0.45,34.71,01-07-2024
Fino Payments bank Apps,0.44,58.11,01-07-2024
HSBC Bank Apps,0.44,152.15,01-07-2024
IndusInd Bank Apps,0.38,101.12,01-07-2024
Shri Ram One #,0.3,35.64,01-07-2024
Digikhata #,0.26,83.11,01-07-2024
UCO Bank Apps,0.24,69.95,01-07-2024
Karnataka Bank Apps,0.19,39.14,01-07-2024
Standard Chartered Bank Apps,0.17,116.72,01-07-2024
TataNeu #,0.17,26.16,01-07-2024
Indian Overseas Bank Apps,0.15,45.13,01-07-2024
Kiwi,0.15,30.35,01-07-2024
Suryoday Bank Apps,0.13,0.03,01-07-2024
Dhani #,0.11,15.91,01-07-2024
Ultracash #,0.1,7.35,01-07-2024
Bank of India Apps,0.08,20.12,01-07-2024
Tamilnad Mercantile Bank Apps,0.08,24.19,01-07-2024
City Union Bank Apps,0.08,28.82,01-07-2024
IDBI Bank Apps,0.08,32.92,01-07-2024
Aditya Birla Capital Digital Limited,0.08,3.7,01-07-2024
NSDL Payments Bank Apps,0.07,10.63,01-07-2024
Citi Bank Apps,0.07,34.54,01-07-2024
Bank of Maharashtra Apps,0.06,13.27,01-07-2024
Niyo Global #,0.06,28.59,01-07-2024
Karur Vysya Bank Apps,0.06,20.69,01-07-2024
Rapi Pay #,0.04,5.95,01-07-2024
Equitas Small Finance Bank Apps,0.04,28.2,01-07-2024
Punjab Sind Bank Apps,0.03,14.96,01-07-2024
Allahabad Bank Apps,0.02,5.19,01-07-2024
Other Apps,1.48,195.85,01-07-2024
Navi #,444.06,23562.51,01-07-2025
super.money #,252.85,9018.71,01-07-2025
Cred #,144.38,55259.9,01-07-2025
FamApp by Trio #,125,1563.58,01-07-2025
Axis Bank Apps,123.44,9773.39,01-07-2025
Amazon Pay #,100.53,10813.98,01-07-2025
BHIM,87.13,14522.39,01-07-2025
Whatsapp #,74.6,5412.58,01-07-2025
ICICI Bank Apps,71.33,17102.36,01-07-2025
Kotak Mahindra Bank Apps,66.63,8497.73,01-07-2025
HDFC Bank Apps,64.97,15430.59,01-07-2025
POP UPI,63.63,1539.48,01-07-2025
Yes Bank Apps,55.6,9491.62,01-07-2025
Mobikwik #,43.17,5578.43,01-07-2025
Airtel Payments Bank Apps,21.34,1509.17,01-07-2025
Slice Small Finance Bank Apps,19.83,2586.22,01-07-2025
India Post Payments Bank Apps,18.16,1759.02,01-07-2025
IDFC Bank Apps,18.08,2707.93,01-07-2025
Groww #,14.06,11012.81,01-07-2025
State Bank of India Apps,12.26,3633.07,01-07-2025
Bajaj Finserv,10.87,2516.08,01-07-2025
Samsung Pay #,9.34,669.72,01-07-2025
RBL Bank Apps,8.54,1388.7,01-07-2025
Jupiter Money #,6.3,981.5,01-07-2025
Federal Bank Apps,5.86,1163.18,01-07-2025
Jio Payments Bank Apps,4.47,306.58,01-07-2025
Deutsche Bank Apps,4.43,770.63,01-07-2025
Canara Bank Apps,4.05,1018.59,01-07-2025
Punjab National Bank Apps,3.67,980.66,01-07-2025
Timepay #,3.14,47.4,01-07-2025
Kiwi #,2.85,323.87,01-07-2025
Fi Money #,2.84,400.92,01-07-2025
NSDL Payments Bank Apps,2.78,110.25,01-07-2025
Flipkart UPI #,2.7,155.64,01-07-2025
Jammu and Kashmir Bank Apps,2.62,343.24,01-07-2025
Shri Ram One,2.38,155.72,01-07-2025
Bank of Baroda Apps,2.01,529.28,01-07-2025
Ind Money #,1.86,730.24,01-07-2025
Omni Card,1.73,98.15,01-07-2025
IndusInd Bank Apps,1.26,178.71,01-07-2025
Indian Bank Apps,1.11,255.91,01-07-2025
HSBC Bank Apps,1.09,135.52,01-07-2025
Suryoday Bank Apps,1.06,151.82,01-07-2025
Digikhata,1.01,320.5,01-07-2025
Standard Chartered Bank Apps,0.99,150.81,01-07-2025
Bharat Pe #,0.92,62.45,01-07-2025
DBS Digibank Apps,0.88,222.49,01-07-2025
Central Bank of India Apps,0.86,186.24,01-07-2025
South Indian Bank Apps,0.83,240.25,01-07-2025
Union Bank Apps,0.79,259.13,01-07-2025
One Card #,0.78,918.16,01-07-2025
Money View #,0.71,64.31,01-07-2025
AU Small Finance Bank Apps,0.65,201.78,01-07-2025
Kredit Pe #,0.6,54.67,01-07-2025
ESAF Small Finance Bank Apps,0.59,64.58,01-07-2025
UCO Bank Apps,0.57,140.44,01-07-2025
Fino Payments Bank Apps,0.55,55.18,01-07-2025
Salary Se #,0.5,22.32,01-07-2025
Tata Pay #,0.49,144.2,01-07-2025
Aditya Birla Capital Digital,0.39,23.14,01-07-2025
Bank of India Apps,0.31,95.7,01-07-2025
Indian Overseas Bank Apps,0.29,69.35,01-07-2025
Karnataka Bank Apps,0.26,61.44,01-07-2025
Spice Money,0.26,21.44,01-07-2025
Rapipay,0.22,23.19,01-07-2025
Dhani,0.2,8.73,01-07-2025
IDBI Bank Apps,0.16,60.93,01-07-2025
True Balance,0.13,4.22,01-07-2025
Ultracash #,0.11,7.7,01-07-2025
Karur Vysya Bank Apps,0.11,38.44,01-07-2025
Obopay,0.11,15.31,01-07-2025
Tamilnad Mercantile Bank Apps,0.1,33.72,01-07-2025
Niyo Global #,0.08,20.06,01-07-2025
City Union Bank Apps,0.07,27.83,01-07-2025
Unity Small Finance Bank Apps,0.07,16.97,01-07-2025
Freo #,0.04,2.57,01-07-2025
Payworld,0.04,3.27,01-07-2025
Utkarsh Small Finance Bank Apps,0.02,3.19,01-07-2025
Bank of Maharashtra Apps,0.02,8.09,01-07-2025
Jar #,0.02,0.5,01-07-2025
Punjab Sind Bank Apps,0.02,7.28,01-07-2025
Others,2.31,244.14,01-07-2025
PhonePe #,6716.09,1009064.99,01-06-2024
Google Pay #,5103.99,707241.27,01-06-2024
Paytm,1104.89,120840.45,01-06-2024
Cred #,138.42,45720.01,01-06-2024
Axis Bank Apps,75.07,6614.04,01-06-2024
Amazon Pay #,67.07,7377.3,01-06-2024
ICICI Bank Apps,51.65,29996.18,01-06-2024
FamApp by Trio #,50.78,641.36,01-06-2024
Kotak Mahindra Bank Apps,42.65,6073.08,01-06-2024
WhatsApp #,37.18,2923.79,01-06-2024
Navi #,35.72,1769.66,01-06-2024
HDFC Bank Apps,34.6,8167.3,01-06-2024
BHIM,22.72,7965.69,01-06-2024
Yes Bank Apps,22.55,9317.05,01-06-2024
Airtel Payments Bank Apps,15.76,1192.07,01-06-2024
Mobikwik #,11.59,2564.79,01-06-2024
Groww #,11.26,9094.72,01-06-2024
Bajaj Finserv #,8.23,1852.43,01-06-2024
Slice #,7.86,634.47,01-06-2024
IDFC Bank Apps,7.33,1654.91,01-06-2024
State Bank of India Apps,7.22,2426.08,01-06-2024
Samsung Pay #,6.38,542.12,01-06-2024
India Post Payments Bank Apps,6.01,732.1,01-06-2024
Flipkart UPI #,5.97,337.24,01-06-2024
Federal Bank Apps,5.67,790.57,01-06-2024
Jupiter Money #,5.63,750.68,01-06-2024
Canara Bank Apps,2.88,793.85,01-06-2024
Jio Payments Bank Apps,2.33,186.62,01-06-2024
Deutsche Bank Apps,2.25,334.12,01-06-2024
Timepay #,1.82,20.2,01-06-2024
Punjab National Bank Apps,1.8,472.48,01-06-2024
RBL Bank Apps,1.75,785.07,01-06-2024
Indian Bank Apps,1.73,330.47,01-06-2024
OmniCard #,1.28,53.41,01-06-2024
Union Bank Apps,1.06,461.02,01-06-2024
Bank of Baroda Apps,1.03,450.62,01-06-2024
Central Bank of India Apps,0.83,188.63,01-06-2024
AU Small Finance Bank Apps,0.76,227.63,01-06-2024
Jammu and Kashmir Bank Apps,0.75,97.58,01-06-2024
DBS Digibank Apps,0.5,198.68,01-06-2024
South Indian Bank Apps,0.49,144.78,01-06-2024
IndusInd Bank Apps,0.43,117.86,01-06-2024
Fino Payments bank Apps,0.41,55.79,01-06-2024
HSBC Bank Apps,0.4,148.09,01-06-2024
Shriram One #,0.28,37.04,01-06-2024
UCO Bank Apps,0.22,67.4,01-06-2024
Digikhata #,0.19,63.31,01-06-2024
Karnataka Bank Apps,0.18,33.55,01-06-2024
Standard Chartered Bank Apps,0.17,117.35,01-06-2024
TataNeu #,0.16,23.31,01-06-2024
Kiwi #,0.15,31.43,01-06-2024
Suryoday,0.14,0.02,01-06-2024
Indian Overseas Bank Apps,0.13,37.62,01-06-2024
super.money #,0.13,5.04,01-06-2024
Dhani,0.11,13.84,01-06-2024
Bank of India Apps,0.1,38.05,01-06-2024
Ultracash #,0.09,6.51,01-06-2024
Tamilnad Mercantile Bank Apps,0.08,26.21,01-06-2024
City Union Bank Apps,0.08,28.66,01-06-2024
POPClub #,0.07,4.87,01-06-2024
Citi Bank Apps,0.07,70.51,01-06-2024
Aditya Birla Capital Digital #,0.07,3.45,01-06-2024
IDBI Bank Apps,0.07,27.06,01-06-2024
NSDL Payments Bank Apps,0.06,10.09,01-06-2024
Bank of Maharashtra Apps,0.05,11.11,01-06-2024
Karur Vysya Bank Apps,0.05,18.73,01-06-2024
Niyo Global #,0.05,24.78,01-06-2024
Equitas Small Finance Bank Apps,0.04,26.25,01-06-2024
Punjab Sind Bank Apps,0.03,12.38,01-06-2024
Other Apps,1.54,184.11,01-06-2024
Navi #,406.01,21814.51,01-06-2025
super.money #,218.96,7716.48,01-06-2025
Cred #,138.32,51384.11,01-06-2025
Axis Bank Apps,126.27,9388.51,01-06-2025
FamApp by Trio #,112.75,1439.64,01-06-2025
Amazon Pay #,93.25,9942.48,01-06-2025
BHIM,73.07,11725.85,01-06-2025
Whatsapp #,67.48,4989.34,01-06-2025
HDFC Bank Apps,67.46,14297.8,01-06-2025
ICICI Bank Apps,61.82,15983.92,01-06-2025
Kotak Mahindra Bank Apps,60.36,7735.27,01-06-2025
Yes Bank Apps,52.55,8917.32,01-06-2025
Mobikwik #,34.43,4600.71,01-06-2025
POP UPI,32.33,834.39,01-06-2025
Airtel Payments Bank Apps,19.74,1368.2,01-06-2025
Slice Small Finance Bank Apps,17.76,2317.46,01-06-2025
IDFC Bank Apps,17.44,2481.31,01-06-2025
India Post Payments Bank Apps,16.65,1730.46,01-06-2025
State Bank of India Apps,13.35,3591.53,01-06-2025
Groww #,12.46,8801.55,01-06-2025
Bajaj Finserv,11.4,2351.65,01-06-2025
RBL Bank Apps,10.7,1587.67,01-06-2025
Samsung Pay #,8.81,624.29,01-06-2025
Jupiter Money #,5.99,905.62,01-06-2025
Federal Bank Apps,5.22,1006.22,01-06-2025
Jio Payments Bank Apps,4.26,308.69,01-06-2025
Deutsche Bank Apps,4.02,723.95,01-06-2025
Timepay #,3.96,50.49,01-06-2025
Canara Bank Apps,3.49,911.93,01-06-2025
Punjab National Bank Apps,3.46,917.08,01-06-2025
Kiwi #,3.43,385.72,01-06-2025
